"BioSample.Accession"	"Assembly.Accession"	"Status"	"nuccore_first_chrom"	"Release.Date"	"Modify.Date"	"id"	"title"	"platform"	"instrument_model"	"study_acc"	"organism_ScientificName"	"organism_taxid"	"bioproject"	"runCreateDate"	"runUpdateDate"	"nSRAs"	"run_SRAs"	"run_sizes"	"run_publicities"
"SAMD00000346"	"GCA_000828715.1"	"Complete Genome"	"NZ_AP014583.1"	"2014/05/07"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000347"	"GCA_000828735.1"	"Complete Genome"	"NZ_AP014584.1"	"2014/04/28"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000355"	"GCA_002355175.1"	"Complete Genome"	"NZ_AP014596.1"	"2016/02/26"	"2017/09/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000552"	"GCA_002355155.1"	"Complete Genome"	"NZ_AP017369.1"	"2016/05/03"	"2017/09/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000555"	"GCA_000829355.1"	"Complete Genome"	"NZ_AP014595.1"	"2014/08/02"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000683"	"GCA_000283735.1"	"Complete Genome"	"NC_016860.1"	"2010/11/29"	"2017/02/26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00002684"	"GCA_000828595.1"	"Complete Genome"	"NZ_AP014565.1"	"2014/06/27"	"2018/01/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00006056"	"GCA_000350185.1"	"Complete Genome"	"NC_020518.1"	"2011/12/02"	"2017/02/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00010723"	"GCA_000829035.1"	"Complete Genome"	"NZ_AP012541.1"	"2013/08/14"	"2017/04/03"	694121	"Whole genome analysis of Lactobacillus paracasei JCM 8130"	"LS454"	"454 GS FLX"	"DRP000993"	"Lactobacillus paracasei subsp. paracasei ATCC 25302"	"525337"	"PRJDB478"	"2014/05/14"	"2014/07/31"	"1"	"DRR006511"	"83116934"	"true"
"SAMD00010881"	"GCA_000241585.3"	"Complete Genome"	"NZ_AP014881.1"	"2016/01/28"	"2017/04/10"	392176	"Illumina Sequencing of Acetobacter pasteurianus NBRC 101655 random whole genome shotgun library"	"ILLUMINA"	"Illumina Genome Analyzer II"	"DRP000640"	"Acetobacter pasteurianus NBRC 101655"	"1006554"	"PRJDB2390"	"2015/07/31"	"2014/07/31"	"1"	"DRR002427"	"214295796"	"true"
"SAMD00012381"	"GCA_000306825.1"	"Complete Genome"	"NC_018101.1"	"2012/07/02"	"2017/03/30"	193010	"Whole genome analysis of Corynebacterium ulcerans 0102 producing diphtheria toxin."	"ILLUMINA"	"Illumina Genome Analyzer IIx"	"DRP000386"	"Corynebacterium ulcerans 0102"	"996634"	"PRJDA63647"	"2012/06/07"	"2014/07/31"	"1"	"DRR001004"	"2239673440"	"true"
"SAMD00012611"	"GCA_000283755.1"	"Complete Genome"	"NC_016807.1"	"2011/11/30"	"2017/03/30"	128838	"Whole genome sequencing of Mycoplasma pneumoniae strain 309"	"LS454"	"454 GS Junior"	"DRP000504"	"Mycoplasma pneumoniae 309"	"1112856"	"PRJDB8"	"2011/12/25"	"2017/08/10"	"1"	"DRR001648"	"88266561"	"true"
"SAMD00012854"	"GCA_000402035.1"	"Complete Genome"	"NC_021287.1"	"2013/05/21"	"2018/08/08"	697923	"Burkholderia sp. RPE64 PacBio"	"PACBIO_SMRT"	"PacBio RS"	"DRP001022"	"Burkholderia insecticola"	"758793"	"PRJDB1103"	"2014/05/14"	"2014/07/31"	"1"	"DRR008620"	"547813609"	"true"
"SAMD00013603"	"GCA_000180175.2"	"Complete Genome"	"NC_022546.1"	"2013/10/04"	"2017/04/10"	261331	"Plautia stali symbiont 454 seuence"	"LS454"	"454 GS 20"	"DRP000787"	"Plautia stali symbiont"	"891974"	"PRJDA53367"	"2012/10/18"	"2014/07/31"	"3"	"DRR003181,DRR003179,DRR003180"	"48229269,39724126,45619806"	"true,true,true"
"SAMD00013964"	"GCA_000828815.1"	"Complete Genome"	"NZ_AP014521.1"	"2014/09/19"	"2018/01/11"	1285198	"Symbiont-containing voluminous jelly as an extraordinary maternal gift for overwintering insect nymphs"	"ILLUMINA"	"Illumina HiSeq 2000"	"DRP001270"	"Enterobacteriaceae"	"543"	"PRJDB1515"	"2015/03/02"	"2015/03/02"	"1"	"DRR014315"	"3093711002"	"true"
"SAMD00015704"	"GCA_000478905.1"	"Complete Genome"	"NC_022547.1"	"2013/10/04"	"2018/01/11"	698365	"Halyomorpha halys symbiont sequence project"	"LS454"	"454 GS FLX Titanium"	"DRP000764"	"Candidatus Pantoea carbekii"	"1235990"	"PRJDB2735"	"2014/04/01"	"2014/07/31"	"1"	"DRR003144"	"106699816"	"true"
"SAMD00016353"	"GCA_000209795.2"	"Complete Genome"	"NC_017196.2"	"2010/03/25"	"2018/04/04"	5805	"B. subtilis subsp. natto genome sequencing September 2008"	"ILLUMINA"	"Illumina Genome Analyzer II"	"DRP000001"	"Bacillus subtilis subsp. natto BEST195"	"645657"	"PRJDA38027"	"2010/03/23"	"2015/01/30"	"1"	"DRR000001"	"730668528"	"true"
"SAMD00016606"	"GCA_000284435.1"	"Complete Genome"	"NC_017294.1"	"2011/09/15"	"2018/01/11"	112407	"Whole genome sequncing of Candidatus Arthromitus sp. SFB-mouse-Yit"	"LS454"	"454 GS FLX Titanium"	"DRP000404"	"Candidatus Arthromitus sp. SFB-mouse-Yit"	"1041809"	"PRJDA67835"	"2011/09/19"	"2014/07/31"	"1"	"DRR001116"	"64817410"	"true"
"SAMD00016607"	"GCA_000283555.1"	"Complete Genome"	"NC_016012.1"	"2011/09/15"	"2018/01/11"	112408	"Whole genome sequncing of Candidatus Arthromitus sp. SFB-rat-Yit"	"LS454"	"454 GS FLX Titanium"	"DRP000405"	"Candidatus Arthromitus sp. SFB-rat-Yit"	"1041504"	"PRJDA67837"	"2011/09/19"	"2014/07/31"	"1"	"DRR001117"	"130578961"	"true"
"SAMD00016619"	"GCA_000270325.1"	"Complete Genome"	"BA000048.1"	"2010/12/25"	"2016/10/07"	20584	"Sequencing of fosmid clones by 454 GS 20"	"LS454"	"454 GS 20"	"DRP000160"	"microbial mat metagenome"	"527640"	"PRJNA39577"	"2010/12/06"	"2014/07/31"	"1"	"DRR000358"	"174252778"	"true"
"SAMD00016915"	"GCA_002355135.1"	"Complete Genome"	"NZ_AP014609.1"	"2016/05/30"	"2017/09/27"	1537678	"Illumina HiSeq 2000 paired end sequencing of SAMD00016915"	"ILLUMINA"	"Illumina HiSeq 2000"	"DRP002684"	"insect metagenome"	"1234904"	"PRJDB1602"	"2015/06/17"	"2015/06/17"	"1"	"DRR019499"	"8640275800"	"true"
"SAMD00017418"	"GCA_000828755.1"	"Chromosome"	"NZ_AP014655.1"	"2014/10/25"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00017481"	"GCA_002355195.1"	"Complete Genome"	"NZ_AP014597.1"	"2015/12/11"	"2017/09/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00017730"	"GCA_002355215.1"	"Complete Genome"	"AP014612.1"	"2015/02/04"	"2017/02/14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00018365"	"GCA_001547895.1"	"Complete Genome"	"NZ_AP014627.1"	"2015/03/19"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00018366"	"GCA_001547915.1"	"Complete Genome"	"NZ_AP014628.1"	"2015/03/19"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00018424"	"GCA_001010505.1"	"Complete Genome"	"NZ_AP014613.1"	"2014/07/03"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00018699"	"GCA_001010485.1"	"Complete Genome"	"NZ_AP014722.1"	"2015/02/17"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00018700"	"GCA_000829275.1"	"Complete Genome"	"NZ_AP014622.1"	"2014/08/01"	"2017/05/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00018963"	"GCA_002355875.1"	"Complete Genome"	"NZ_AP014623.1"	"2016/10/08"	"2017/09/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00018982"	"GCA_000829375.1"	"Complete Genome"	"NZ_AP014624.1"	"2014/08/21"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019081"	"GCA_001547995.1"	"Complete Genome"	"NZ_AP014690.1"	"2015/10/14"	"2017/04/16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019082"	"GCA_000829255.1"	"Complete Genome"	"NZ_AP014646.1"	"2014/09/18"	"2017/03/16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019129"	"GCA_002887655.1"	"Complete Genome"	"NZ_CP025796.1"	"2018/01/17"	"2018/01/21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019133"	"GCA_002906655.1"	"Complete Genome"	"NZ_CP025794.1"	"2018/01/17"	"2018/02/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019136"	"GCA_002893865.1"	"Chromosome"	"NZ_CP025953.1"	"2018/01/21"	"2018/01/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019192"	"GCA_000828835.1"	"Complete Genome"	"NZ_AP014633.1"	"2014/09/19"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019276"	"GCA_000828855.1"	"Complete Genome"	"NZ_AP014631.1"	"2014/08/27"	"2018/01/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019511"	"GCA_000829415.1"	"Complete Genome"	"NZ_AP014637.1"	"2014/09/03"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019582"	"GCA_001547935.1"	"Complete Genome"	"NZ_AP014635.1"	"2015/09/11"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019677"	"GCA_000828475.1"	"Complete Genome"	"NZ_AP014648.1"	"2015/01/06"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019943"	"GCA_000829295.1"	"Complete Genome"	"NZ_AP014658.1"	"2014/11/11"	"2017/04/03"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019988"	"GCA_002142475.1"	"Complete Genome"	"NZ_AP014638.1"	"2015/02/14"	"2017/05/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00019989"	"GCA_002142495.1"	"Complete Genome"	"NZ_AP014642.1"	"2015/02/14"	"2017/05/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00020223"	"GCA_000828935.1"	"Complete Genome"	"NZ_AP014649.1"	"2014/10/02"	"2017/03/16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00020283"	"GCA_001549655.1"	"Complete Genome"	"NZ_AP014652.1"	"2015/03/24"	"2017/03/05"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00020284"	"GCA_001549675.1"	"Complete Genome"	"NZ_AP014653.1"	"2015/03/24"	"2017/03/05"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00020552"	"GCA_001547955.1"	"Complete Genome"	"NZ_AP014651.1"	"2015/02/25"	"2017/05/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00020876"	"GCA_001547975.1"	"Complete Genome"	"NZ_AP014657.1"	"2015/02/25"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00020950"	"GCA_000828975.1"	"Complete Genome"	"NZ_AP014683.1"	"2014/11/15"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00022775"	"GCA_001549695.1"	"Complete Genome"	"NZ_AP014685.1"	"2015/04/11"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00023458"	"GCA_002355475.1"	"Complete Genome"	"NZ_AP014862.1"	"2016/04/05"	"2018/05/23"	3761009	"Illumina MiSeq paired end sequencing of SAMD00023458"	"ILLUMINA"	"Illumina MiSeq"	"DRP003483"	"Pseudomonas furukawaii"	"1149133"	"PRJDB3360"	"2017/02/28"	"2017/02/28"	"1"	"DRR030323"	"330500042"	"true"
"SAMD00023458"	"GCA_002355475.1"	"Complete Genome"	"NZ_AP014862.1"	"2016/04/05"	"2018/05/23"	3761008	"Illumina HiSeq 1000 paired end sequencing of SAMD00023458"	"ILLUMINA"	"Illumina HiSeq 1000"	"DRP003483"	"Pseudomonas furukawaii"	"1149133"	"PRJDB3360"	"2017/02/28"	"2017/02/28"	"1"	"DRR030322"	"296673800"	"true"
"SAMD00023458"	"GCA_002355475.1"	"Complete Genome"	"NZ_AP014862.1"	"2016/04/05"	"2018/05/23"	3761007	"Illumina HiSeq 1000 paired end sequencing of SAMD00023458"	"ILLUMINA"	"Illumina HiSeq 1000"	"DRP003483"	"Pseudomonas furukawaii"	"1149133"	"PRJDB3360"	"2017/02/28"	"2017/02/28"	"1"	"DRR030321"	"300000000"	"true"
"SAMD00023458"	"GCA_002355475.1"	"Complete Genome"	"NZ_AP014862.1"	"2016/04/05"	"2018/05/23"	3761005	"Illumina HiSeq 1000 paired end sequencing of SAMD00023458"	"ILLUMINA"	"Illumina HiSeq 1000"	"DRP003483"	"Pseudomonas furukawaii"	"1149133"	"PRJDB3360"	"2017/02/28"	"2017/02/28"	"1"	"DRR030319"	"300000000"	"true"
"SAMD00023458"	"GCA_002355475.1"	"Complete Genome"	"NZ_AP014862.1"	"2016/04/05"	"2018/05/23"	3761004	"454 GS FLX Titanium sequencing of SAMD00023458"	"LS454"	"454 GS FLX Titanium"	"DRP003483"	"Pseudomonas furukawaii"	"1149133"	"PRJDB3360"	"2017/02/28"	"2017/02/28"	"1"	"DRR030318"	"103717512"	"true"
"SAMD00023458"	"GCA_002355475.1"	"Complete Genome"	"NZ_AP014862.1"	"2016/04/05"	"2018/05/23"	3761010	"Illumina MiSeq paired end sequencing of SAMD00023458"	"ILLUMINA"	"Illumina MiSeq"	"DRP003483"	"Pseudomonas furukawaii"	"1149133"	"PRJDB3360"	"2017/02/28"	"2017/02/28"	"1"	"DRR030324"	"330500042"	"true"
"SAMD00023458"	"GCA_002355475.1"	"Complete Genome"	"NZ_AP014862.1"	"2016/04/05"	"2018/05/23"	3761006	"Illumina HiSeq 1000 paired end sequencing of SAMD00023458"	"ILLUMINA"	"Illumina HiSeq 1000"	"DRP003483"	"Pseudomonas furukawaii"	"1149133"	"PRJDB3360"	"2017/02/28"	"2017/02/28"	"1"	"DRR030320"	"296673800"	"true"
"SAMD00023463"	"GCA_002356095.1"	"Complete Genome"	"NZ_AP015029.1"	"2016/12/06"	"2017/09/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00023483"	"GCA_001548035.1"	"Complete Genome"	"NZ_AP014723.1"	"2015/02/17"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00023484"	"GCA_001548055.1"	"Complete Genome"	"NZ_AP014724.1"	"2015/02/17"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00024043"	"GCA_002370555.1"	"Complete Genome"	"AP014718.1"	"2015/08/04"	"2015/08/05"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00024045"	"GCA_001549895.1"	"Complete Genome"	"AP014719.1"	"2015/08/04"	"2015/08/05"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00024166"	"GCA_000829015.1"	"Complete Genome"	"NZ_AP014696.1"	"2015/01/06"	"2017/03/25"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00024431"	"GCA_001549715.1"	"Complete Genome"	"AP014710.1"	"2015/03/07"	"2015/06/04"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00024432"	"GCA_001549855.1"	"Complete Genome"	"AP014711.1"	"2015/03/07"	"2015/06/04"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00024433"	"GCA_001549875.1"	"Complete Genome"	"AP014712.1"	"2015/03/07"	"2015/06/04"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00024725"	"GCA_001547755.1"	"Complete Genome"	"NZ_AP013042.1"	"2015/10/06"	"2017/04/16"	1861733	"PacBio RS sequencing of SAMD00024725"	"PACBIO_SMRT"	"PacBio RS"	"DRP002786"	"endosymbiont of Bathymodiolus septemdierum str. Myojin knoll"	"1303921"	"PRJDB949"	"2015/10/22"	"2015/10/05"	"1"	"DRR028956"	"24408"	"true"
"SAMD00024725"	"GCA_001547755.1"	"Complete Genome"	"NZ_AP013042.1"	"2015/10/06"	"2017/04/16"	1861732	"Illumina HiSeq 2000 paired end sequencing of SAMD00024725"	"ILLUMINA"	"Illumina HiSeq 2000"	"DRP002786"	"endosymbiont of Bathymodiolus septemdierum str. Myojin knoll"	"1303921"	"PRJDB949"	"2015/10/22"	"2015/10/05"	"1"	"DRR028955"	"9000000000"	"true"
"SAMD00024749"	"GCA_002355515.1"	"Complete Genome"	"NZ_AP014809.1"	"2016/04/29"	"2017/09/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00024788"	"GCA_001548015.1"	"Complete Genome"	"NZ_AP014704.1"	"2015/02/24"	"2017/10/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00025316"	"GCA_002355975.1"	"Complete Genome"	"NZ_AP014940.1"	"2016/11/25"	"2017/09/27"	4454379	"Illumina MiSeq paired end sequencing of SAMD00025316"	"ILLUMINA"	"Illumina MiSeq"	"DRP003764"	"Lysobacter enzymogenes"	"69"	"PRJDB3483"	"2017/09/01"	"2017/09/01"	"1"	"DRR045030"	"2693401226"	"true"
"SAMD00025579"	"GCA_001548095.1"	"Complete Genome"	"NZ_AP014815.1"	"2015/03/18"	"2017/04/11"	2238115	"454 GS FLX+ sequencing of SAMD00025579"	"LS454"	"454 GS FLX+"	"DRP002888"	"Geminocystis sp. NIES-3708"	"1615909"	"PRJDB3512"	"2016/02/13"	"2016/02/13"	"1"	"DRR054955"	"126772982"	"true"
"SAMD00025579"	"GCA_001548095.1"	"Complete Genome"	"NZ_AP014815.1"	"2015/03/18"	"2017/04/11"	2238113	"Illumina MiSeq paired end sequencing of SAMD00025579"	"ILLUMINA"	"Illumina MiSeq"	"DRP002888"	"Geminocystis sp. NIES-3708"	"1615909"	"PRJDB3512"	"2016/02/13"	"2016/02/13"	"1"	"DRR054953"	"333107082"	"true"
"SAMD00025579"	"GCA_001548095.1"	"Complete Genome"	"NZ_AP014815.1"	"2015/03/18"	"2017/04/11"	2238114	"454 GS FLX+ sequencing of SAMD00025579"	"LS454"	"454 GS FLX+"	"DRP002888"	"Geminocystis sp. NIES-3708"	"1615909"	"PRJDB3512"	"2016/02/13"	"2016/02/13"	"1"	"DRR054954"	"347023408"	"true"
"SAMD00025828"	"GCA_001548075.1"	"Complete Genome"	"NZ_AP014800.1"	"2015/03/18"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00026520"	"GCA_002356575.1"	"Complete Genome"	"NZ_AP014833.1"	"2015/05/15"	"2017/09/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00026530"	"GCA_001042405.1"	"Complete Genome"	"NZ_AP014808.1"	"2015/03/07"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00026629"	"GCA_002285475.1"	"Complete Genome"	"NZ_AP014856.1"	"2015/11/06"	"2017/09/07"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00026637"	"GCA_001549955.1"	"Complete Genome"	"NZ_AP014857.1"	"2015/11/19"	"2017/02/25"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00026650"	"GCA_002285455.1"	"Complete Genome"	"NZ_AP014855.1"	"2015/11/06"	"2017/09/07"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00027151"	"GCA_001548115.1"	"Complete Genome"	"NZ_AP014821.1"	"2015/03/18"	"2017/04/11"	2238116	"Illumina MiSeq paired end sequencing of SAMD00027151"	"ILLUMINA"	"Illumina MiSeq"	"DRP002889"	"Geminocystis sp. NIES-3709"	"1617448"	"PRJDB3579"	"2016/02/13"	"2016/02/13"	"1"	"DRR054956"	"458342257"	"true"
"SAMD00027151"	"GCA_001548115.1"	"Complete Genome"	"NZ_AP014821.1"	"2015/03/18"	"2017/04/11"	2238117	"Illumina MiSeq paired end sequencing of SAMD00027151"	"ILLUMINA"	"Illumina MiSeq"	"DRP002889"	"Geminocystis sp. NIES-3709"	"1617448"	"PRJDB3579"	"2016/02/13"	"2016/02/13"	"1"	"DRR054957"	"174281864"	"true"
"SAMD00027370"	"GCA_001548135.1"	"Complete Genome"	"NZ_AP014839.1"	"2015/04/22"	"2017/03/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00027389"	"GCA_002356115.1"	"Complete Genome"	"NZ_AP014836.1"	"2017/01/19"	"2018/01/12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00029041"	"GCA_001548155.2"	"Complete Genome"	"NZ_AP014854.2"	"2015/07/15"	"2017/04/12"	2222565	"Illumina MiSeq paired end sequencing of SAMD00029041"	"ILLUMINA"	"Illumina MiSeq"	"DRP002885"	"Blastochloris viridis"	"1079"	"PRJDB3853"	"2016/02/10"	"2016/02/10"	"1"	"DRR054586"	"508757520"	"true"
"SAMD00029041"	"GCA_001548155.2"	"Complete Genome"	"NZ_AP014854.2"	"2015/07/15"	"2017/04/12"	2222564	"Illumina MiSeq paired end sequencing of SAMD00029041"	"ILLUMINA"	"Illumina MiSeq"	"DRP002885"	"Blastochloris viridis"	"1079"	"PRJDB3853"	"2016/02/10"	"2016/02/10"	"1"	"DRR054585"	"564213682"	"true"
"SAMD00030057"	"GCA_001548175.1"	"Complete Genome"	"NZ_AP014864.1"	"2015/05/23"	"2017/04/04"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00031266"	"GCA_002355735.1"	"Complete Genome"	"NZ_AP014879.1"	"2016/07/29"	"2017/09/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00031898"	"GCA_002356055.1"	"Complete Genome"	"NZ_AP014880.1"	"2016/12/02"	"2018/01/03"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00032095"	"GCA_001548215.1"	"Complete Genome"	"NZ_AP014928.1"	"2015/11/11"	"2017/04/04"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00034144"	"GCA_002356675.1"	"Complete Genome"	"NZ_AP014921.1"	"2017/03/31"	"2017/09/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
